parametr,wartosc,clf_acc_mean,reg_r2_mean
n_neighbors,1,0.5781,0.5846
n_neighbors,3,0.6352,0.6992
n_neighbors,5,0.6503,0.7191
n_neighbors,10,0.6628,0.7303
n_neighbors,20,0.6675,0.7251
n_neighbors,50,0.6667,0.7051
weights,uniform,0.6503,0.7191
weights,distance,0.6402,0.7227
metric,euclidean,0.6503,0.7191
metric,manhattan,0.651,0.7339
metric,chebyshev,0.6488,0.7044
leaf_size,10,0.6503,0.7191
leaf_size,20,0.6503,0.7191
leaf_size,30,0.6503,0.7191
leaf_size,50,0.6503,0.7191
leaf_size,100,0.6503,0.7191
