parametr,wartosc,clf_acc_mean,clf_acc_std,reg_r2_mean,reg_r2_std
n_estimators,10,0.6567,0.0037,0.8068,0.0056
n_estimators,50,0.6752,0.0035,0.8223,0.0067
n_estimators,100,0.6782,0.0045,0.8239,0.0078
n_estimators,150,0.6793,0.0047,0.8239,0.008
n_estimators,200,0.6808,0.005,0.8242,0.0076
n_estimators,300,0.6804,0.0045,0.8247,0.0078
max_depth,3,0.6165,0.0071,0.5802,0.0084
max_depth,8,0.6662,0.005,0.7536,0.0116
max_depth,15,0.6798,0.0046,0.8195,0.0078
max_depth,25,0.6783,0.0049,0.824,0.0079
max_depth,None,0.6782,0.0045,0.8239,0.0078
min_samples_split,2,0.6782,0.0045,0.8239,0.0078
min_samples_split,5,0.6793,0.0037,0.8242,0.0079
min_samples_split,20,0.6794,0.0045,0.8157,0.009
min_samples_split,50,0.6764,0.0048,0.7975,0.0088
min_samples_split,100,0.6705,0.0054,0.7756,0.0085
max_features,0.1,0.6789,0.0036,0.7934,0.0089
max_features,0.3,0.6782,0.0045,0.8186,0.0085
max_features,0.5,0.6786,0.0032,0.8266,0.0076
max_features,0.8,0.6732,0.0034,0.8266,0.0078
max_features,1.0,0.6697,0.0034,0.8239,0.0078
